x,f(x)
-2,-0.00000318228
-1.9,0E-11
-1.8,0E-11
-1.7,0E-11
-1.6,0E-11
-1.5,0E-11
-1.4,0E-11
-1.3,0E-11
-1.2,0E-11
-1.1,0E-11
-1.0,-107684.38410926727
-0.9,-160774581716577027206660244200128.70000000000
-0.8,-2256652597421435618283210324566331000000000000000000000000000000000000000000000000000000000000.00000000000
-0.7,2684067914598743887442089714299837000000000000000000000000000000000.00000000000
-0.6,2420898393427427526772370714518771000000000000000000000000000000.00000000000
-0.5,171140966123250203350758915291748000000000000000000000000000000000000000.00000000000
-0.4,46857456241791899796449339686874870000000000000000000000000000000000000000000000000000.00000000000
-0.3,184465711998456700078955121976925100000000000000000000000000000000000000000000000000000000000000000000000000.00000000000
-0.2,109521475650801856426762504890287800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000000000
-0.1,2525648765544072988873459047697511000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000000000
0.1,1.78238420907
0.2,0.70963913564
0.3,0.34436456945
0.4,0.17777782409
0.5,0.09210978672
0.6,0.04575610571
0.7,0.02054714010
0.8,0.00744538770
0.9,0.00154251020
1.1,0.00109864148
1.2,0.00376063393
1.3,0.00729287663
1.4,0.01124156725
1.5,0.01530621522
1.6,0.01928693951
1.7,0.02305118249
1.8,0.02651214561
1.9,0.02961451314
2.0,0.03232481183
